product_id,category,brand,model,price,key_features,technical_specs,emi_options,warranty,competitor_comparison,stock_status,launch_date
P011,Washing Machine,IFB,Senator Plus VX,37990,"Front load, steam wash, allergen free","8kg capacity, 1400 RPM, 2X Steam Cycle, Aqua Energie, 14 wash programs","No-cost EMI for 3-6 months with HDFC/ICICI, 9-12 months with Bajaj Finserv","4 years comprehensive warranty, 10 years on motor","Bosch WAJ2846IIN (better build quality but higher price), Samsung WW80J (quieter but fewer programs)","In Stock","January 2023"
P012,Washing Machine,Bosch,WAJ2846IIN,40990,"German engineering, EcoSilence Drive","8kg capacity, 1400 RPM, Anti-Tangle, AllergyPlus, SpeedPerfect","No-cost EMI for 3-9 months with Bajaj Finserv, 6 months with all major banks","2 years comprehensive warranty, 10 years on motor","IFB Senator (more wash programs but shorter warranty), LG FHM1207 (better features but higher price)","In Stock","March 2023"
P013,Air Conditioner,Daikin,FTKF35TV,45990,"Japanese technology, power saving, air purification","1.5 Ton, 5 Star Inverter Split AC, Power Chill, Dew Clean Technology, PM 2.5 Filter","No-cost EMI for 3-6 months with all major banks, 9-12 months with Bajaj Finserv at 9% interest","1 year comprehensive warranty, 10 years on compressor, 5 years on PCB","Hitachi RSQ317EAEA (better cooling but higher power consumption), Blue Star IC518 (lower price but louder)","In Stock","February 2023"
P014,Audio,Sony,WH-1000XM5,29990,"Premium noise cancellation, LDAC, 30-hour battery","Digital noise cancellation, LDAC codec, 30-hour battery life, touch controls, speak-to-chat","No-cost EMI for 3 months with all major banks, 6-9 months with Bajaj Finserv","1 year manufacturer warranty","Bose QuietComfort 45 (more comfortable but inferior sound), Apple AirPods Max (better Apple ecosystem integration but higher price)","In Stock","May 2022"
P015,Audio,Boat,Rockerz 550,1999,"Affordable wireless headphones, good bass, long battery","50mm drivers, Bluetooth 5.0, 20-hour battery life, foldable design","Not available for EMI","1 year manufacturer warranty","JBL Tune 760NC (better build quality but higher price), Noise Newly (similar price but inferior sound)","In Stock","June 2022"
P016,Camera,Canon,EOS R6 Mark II,249990,"Professional mirrorless, 4K video, in-body stabilization","24.2MP full-frame CMOS sensor, DIGIC X processor, 4K60p video, 5-axis IBIS, Dual Pixel CMOS AF II","6 months no-cost EMI with HDFC/ICICI/SBI, 9-24 months with Bajaj Finserv at 10% interest","2 years manufacturer warranty, extended warranty available for ₹14999","Sony A7 IV (better autofocus but worse menu system), Nikon Z6 II (better build quality but fewer native lenses)","Limited Stock","November 2022"
P017,Camera,Sony,Alpha A7 IV,214990,"Hybrid photo/video mirrorless, excellent autofocus","33MP full-frame Exmor R CMOS sensor, BIONZ XR processor, 4K60p video, 5-axis IBIS, 759-point AF","6 months no-cost EMI with HDFC/ICICI/Amex, 9-24 months with Bajaj Finserv at 10% interest","2 years manufacturer warranty","Canon EOS R6 II (better ergonomics but lower resolution), Panasonic S5 (better video features but worse autofocus)","In Stock","October 2021"
P018,Mixer Grinder,Prestige,Iris Plus,2999,"3 jars, powerful motor, 5-year warranty","750W motor, 3 stainless steel jars, 3-speed control with incher, anti-slip feet","Not available for EMI","5 years motor warranty, 2 years comprehensive","Bajaj GX-11 (more durable but louder), Philips HL7756 (better quality but higher price)","In Stock","April 2022"
P019,Smartwatch,Apple,Watch Series 9,41990,"Health features, ecosystem integration, always-on display","Always-on Retina display, blood oxygen sensor, ECG, S9 chip, 18-hour battery life","3 months no-cost EMI with HDFC/ICICI, 6 months with Bajaj Finserv","1 year manufacturer warranty, AppleCare+ available for ₹7900","Samsung Galaxy Watch6 (better battery life but works best with Samsung phones), Garmin Venu 2 (better fitness tracking but worse smart features)","In Stock","September 2023"
P020,Smartwatch,Samsung,Galaxy Watch6,29999,"Health tracking, BioActive sensor, sapphire crystal","Super AMOLED display, BioActive Sensor, Body Composition, ECG, 40 hours battery life","3 months no-cost EMI with all major banks, 6 months with Bajaj Finserv","1 year manufacturer warranty","Apple Watch Series 9 (better app ecosystem but iOS only), Garmin Venu 2 (better battery life but fewer smart features)","In Stock","July 2023"
